ph,temperature,phosphate,clarity,oxygen,nitri,nitrate,ecoli,observation_id
6.0,20.0,,1.77,7.5,0.5,5.0,,124
6.0,15.0,,1.63,8.0,0.5,5.0,,125
6.5,23.0,,1.45,7.0,0.5,5.0,,126
6.0,15.0,,1.83,11.0,0.6,6.0,,127
8.0,,0.1,,8.0,0.5,5.0,,128
8.0,24.0,0.2,,4.0,0.5,5.0,,129
10.0,12.0,0.2,0.00,10.0,0.5,5.0,,130
6.0,17.0,0.0,2.00,7.0,0.0,0.0,,131
6.0,20.0,,1.88,8.0,0.5,5.0,,132
6.0,23.0,,1.63,7.0,0.5,5.0,,133
6.0,18.0,0.0,2.50,8.0,0.0,0.0,,134
6.0,16.0,0.0,2.20,8.0,0.0,0.0,,135
5.5,18.0,,1.60,10.0,0.5,5.0,,136
5.0,23.1,,1.63,6.0,0.5,5.0,,137
5.0,19.0,,1.75,8.0,0.2,2.0,,138
8.0,15.0,0.2,,10.0,0.5,5.0,,139
6.0,18.0,0.2,1.80,8.0,0.5,5.0,,140
6.0,22.0,0.2,1.50,6.0,0.5,5.0,,141
5.0,22.0,0.2,2.00,6.0,0.5,5.0,,142
6.0,19.0,0.2,2.00,8.0,0.5,5.0,,143
4.0,8.0,0.2,1.25,8.0,0.5,5.0,,144
6.0,12.0,,1.25,10.0,0.5,5.0,,145
6.0,18.0,,1.50,6.0,0.5,5.0,,146
5.0,22.0,,1.25,10.0,0.5,5.0,,147
5.0,20.0,,1.25,10.0,0.5,5.0,,148
7.0,25.0,0.2,1.50,5.0,1.0,5.0,,149
6.0,15.0,0.2,1.50,7.0,0.5,5.0,,150
6.0,23.0,0.2,1.50,8.0,0.5,5.0,,151
8.0,21.5,0.2,1.90,8.0,0.5,5.0,,152
6.0,19.0,0.2,2.10,5.0,0.5,5.0,,153
6.0,16.0,,1.20,10.0,0.5,5.0,,154
6.0,,,2.00,10.0,0.5,5.0,,155
6.0,,,2.75,10.0,0.5,5.0,,156
7.0,17.0,0.2,1.25,8.0,0.5,5.0,,157
6.0,12.0,,1.25,12.0,0.5,5.0,,158
7.0,21.0,,1.38,9.0,0.5,5.0,,159
8.0,25.0,,1.38,9.0,0.5,5.0,,160
7.0,16.0,,,9.0,0.5,5.0,,161
6.0,19.0,0.4,1.20,8.0,0.5,5.0,,162
6.0,24.0,0.4,1.70,8.0,0.5,1.0,,163
6.0,22.0,0.4,1.80,8.0,0.5,5.0,,164
6.0,15.0,0.8,1.75,8.0,0.5,5.0,,165
7.0,18.0,,1.30,12.0,0.5,5.0,,166
7.0,19.0,,1.30,10.0,0.5,5.0,,167
6.0,20.0,,1.65,8.0,0.5,5.0,,168
6.0,14.0,,0.80,8.0,0.5,5.0,,169
